Time (years),Observed Velocity (cm/s)
0.197019702,4.300722104
0.198019802,7.268284817
0.199019902,6.325647106
0.200020002,6.627526601
0.201020102,7.260995574
0.202020202,5.509272289
0.203020302,6.397180453
0.204020402,4.019534398
0.205020502,4.028535353
0.206020602,4.115155078
0.207020702,5.350528352
0.208020802,5.276826758
0.209020902,5.030817504
0.210021002,4.542309913
0.211021102,4.940677918
0.212021202,3.97321297
0.213021302,2.91257392
0.214021402,5.205816597
0.215021502,3.786767919
0.216021602,4.93508887
0.217021702,4.01800065
0.218021802,3.706482463
0.219021902,1.818335157
0.220022002,3.694201927
0.221022102,4.164779054
0.222022202,2.073973944
0.223022302,5.53900985
0.224022402,4.571175659
0.225022502,3.34725928
0.226022602,3.52692801
0.227022702,3.551197562
0.228022802,1.018811443
0.229022902,0.912277412
0.230023002,2.971810988
0.231023102,2.272784891
0.232023202,2.69078987
0.233023302,0.880040342
0.234023402,1.987990225
0.235023502,1.992607123
0.236023602,1.466748594
0.237023702,0.274480637
0.238023802,0.545062186
0.239023902,0.068975621
0.240024002,1.096444386
0.241024102,0.235868467
0.242024202,-0.568613776
0.243024302,0.562031683
0.244024402,-2.614913022
0.245024502,-1.193432337
0.246024602,0.780841593
0.247024702,-0.458403605
0.248024802,-0.195165768
0.249024902,-0.197793754
0.250025003,-1.071373892
0.251025103,-0.473422485
0.252025203,-1.924473423
0.253025303,0.137988159
0.254025403,-0.801433716
0.255025503,-2.3418361
0.256025603,-1.70983265
0.257025703,-3.59346035
0.258025803,-1.938216467
0.259025903,-1.241521116
0.260026003,-3.044342486
0.261026103,-1.455432785
0.262026203,-3.000045786
0.263026303,-3.738589023
0.264026403,-1.843991857
0.265026503,-2.242907611
0.266026603,-3.442484486
0.267026703,-2.854258613
0.268026803,-3.486363864
0.269026903,-1.712916356
0.270027003,-1.202523427
0.271027103,-3.282628116
0.272027203,-2.564551962
0.273027303,-2.797631507
0.274027403,-3.761315973
0.275027503,-2.021469732
0.276027603,-4.222754279
0.277027703,-2.274001312
0.278027803,-4.616299775
0.279027903,-2.739223228
0.280028003,-4.178685692
0.281028103,-3.869028367
0.282028203,-4.998599214
0.283028303,-3.436887931
0.284028403,-6.013937371
0.285028503,-3.932392862
0.286028603,-3.189495719
0.287028703,-2.69148454
0.288028803,-3.303878342
0.289028903,-3.737608195
0.290029003,-4.978098061
0.291029103,-4.850243689
0.292029203,-4.493982427
0.293029303,-5.055491066
0.294029403,-5.156701169
0.295029503,-4.026710352
0.296029603,-4.024537421
0.297029703,-4.752474989
0.298029803,-3.975830795
0.299029903,-3.371153761
0.300030003,-2.899822192
0.301030103,-2.957616355
0.302030203,-3.725561344
0.303030303,-4.062801814
0.304030403,-3.322934044
0.305030503,-5.677255795
0.306030603,-2.445541753
0.307030703,-4.430015864
0.308030803,-3.892500872
0.309030903,-2.600775032
0.310031003,-3.271248396
0.311031103,-4.641769779
0.312031203,-2.702166978
0.313031303,-5.513872815
0.314031403,-2.531090436
0.315031503,-4.887636334
0.316031603,-3.773583668
0.317031703,-5.237491521
0.318031803,-3.067340801
0.319031903,-3.295504803
0.320032003,-2.31658978
0.321032103,-5.463675674
0.322032203,-2.633230125
0.323032303,-4.634119419
0.324032403,-3.030084275
0.325032503,-3.607403584
0.326032603,-3.018975382
0.327032703,-2.500698477
0.328032803,-3.071944719
0.329032903,-2.967449336
0.330033003,-0.860284844
0.331033103,-1.244694275
0.332033203,-4.172127071
0.333033303,-2.15719218
0.334033403,-2.617335159
0.335033503,-2.333533936
0.336033603,-2.900575381
0.337033703,-2.733023104
0.338033803,-3.433876826
0.339033903,-3.939996785
0.340034003,-0.23286288
0.341034103,-1.401599405
0.342034203,-2.290569307
0.343034303,-3.149072295
0.344034403,-1.109327031
0.345034503,-1.677819442
0.346034603,-2.599405651
0.347034703,-1.081099511
0.348034803,-1.238448171
0.349034903,-1.299471954
0.350035004,-0.191691926
0.351035104,-0.305784948
0.352035204,-2.456355381
0.353035304,-1.096259111
0.354035404,-0.465771046
0.355035504,-0.292269653
0.356035604,-0.103435742
0.357035704,-0.689391779
0.358035804,0.125445108
0.359035904,-0.600109618
0.360036004,0.564316661
0.361036104,0.090855672
0.362036204,-0.888255335
0.363036304,-1.174594183
0.364036404,0.989780485
0.365036504,-1.518030291
0.366036604,0.122674443
0.367036704,-0.474564138
0.368036804,-0.882773127
0.369036904,-2.159210912
0.370037004,0.467115595
0.371037104,-1.099935384
0.372037204,-2.668413047
0.373037304,0.004426679
0.374037404,0.947997075
0.375037504,-0.426820931
0.376037604,0.241210788
0.377037704,0.035331341
0.378037804,-1.128818668
0.379037904,-1.647219493
0.380038004,-1.880721439
0.381038104,0.171776468
0.382038204,-0.209051318
0.383038304,-0.432716206
0.384038404,-1.359021516
0.385038504,-2.411268676
0.386038604,-2.47674383
0.387038704,-1.856537311
0.388038804,-1.840973807
0.389038904,-0.546405309
0.390039004,-2.29770922
0.391039104,-2.428203395
0.392039204,-0.242567107
0.393039304,-3.063359143
0.394039404,-1.38399434
0.395039504,-1.646204878
0.396039604,-0.769921067
0.397039704,-3.465665291
0.398039804,-1.011641722
0.399039904,-2.725092062
0.400040004,-0.870954806
0.401040104,-2.015721694
0.402040204,-2.63219802
0.403040304,-3.593005371
0.404040404,-3.665769617
0.405040504,-2.363037146
0.406040604,-2.252945279
0.407040704,-2.887504988
0.408040804,-2.57518019
0.409040904,-2.499273922
0.410041004,-3.185844478
0.411041104,-3.431200843
0.412041204,-6.487288029
0.413041304,-4.31159085
0.414041404,-4.219922503
0.415041504,-3.135238936
0.416041604,-5.36449175
0.417041704,-3.453989158
0.418041804,-3.172542173
0.419041904,-3.501539612
0.420042004,-5.266365645
0.421042104,-4.839417893
0.422042204,-4.722733273
0.423042304,-5.938918728
0.424042404,-5.362942318
0.425042504,-3.727277084
0.426042604,-5.948437744
0.427042704,-6.788677536
0.428042804,-6.502341569
0.429042904,-7.104692913
0.430043004,-5.953985695
0.431043104,-7.87449888
0.432043204,-5.903719823
0.433043304,-6.564488391
0.434043404,-6.753741954
0.435043504,-5.886701616
0.436043604,-7.725182454
0.437043704,-7.101478023
0.438043804,-7.043547316
0.439043904,-5.947118663
0.440044004,-7.760602959
0.441044104,-7.885791922
0.442044204,-9.805838995
0.443044304,-9.366289174
0.444044404,-8.558255881
0.445044504,-6.96752001
0.446044604,-9.282012562
0.447044704,-8.859713907
0.448044804,-7.467746401
0.449044904,-9.976639268
0.450045005,-9.043370854
0.451045105,-9.606017074
0.452045205,-8.872263261
0.453045305,-10.21374447
0.454045405,-8.324342768
0.455045505,-10.02026467
0.456045605,-9.081535626
0.457045705,-7.975080516
0.458045805,-10.047294
0.459045905,-7.913596608
0.460046005,-9.055102921
0.461046105,-9.070400089
0.462046205,-8.131382415
0.463046305,-8.179588618
0.464046405,-9.360086301
0.465046505,-8.29485954
0.466046605,-9.203599818
0.467046705,-9.63219595
0.468046805,-9.230471946
0.469046905,-8.502418897
0.470047005,-10.03010641
0.471047105,-9.479862025
0.472047205,-8.501454316
0.473047305,-9.776115732
0.474047405,-7.655766714
0.475047505,-9.390450697
0.476047605,-9.272830892
0.477047705,-8.470198852
0.478047805,-8.086234678
0.479047905,-8.484486976
0.480048005,-8.283182549
0.481048105,-7.514270122
0.482048205,-7.560201681
0.483048305,-9.843258808
0.484048405,-8.208054552
0.485048505,-10.02768467
0.486048605,-8.835970002
0.487048705,-7.627143465
0.488048805,-7.156747623
0.489048905,-7.712319137
0.490049005,-7.192024568
0.491049105,-6.960653192
0.492049205,-9.255201252
0.493049305,-8.380581693
0.494049405,-8.110374192
0.495049505,-6.878563876
0.496049605,-7.412478396
0.497049705,-6.122390706
0.498049805,-7.445926514
0.499049905,-7.350864755
0.500050005,-5.823110765
0.501050105,-6.022880003
0.502050205,-5.604729372
0.503050305,-7.292396515
0.504050405,-5.441745584
0.505050505,-5.729890582
0.506050605,-6.325636786
0.507050705,-5.257556086
0.508050805,-6.232822017
0.509050905,-5.97971117
0.510051005,-5.152314333
0.511051105,-3.594661757
0.512051205,-3.504650377
0.513051305,-2.674188591
0.514051405,-3.979149265
0.515051505,-4.313152423
0.516051605,-2.523898413
0.517051705,-2.600610028
0.518051805,-3.814771917
0.519051905,-3.65755607
0.520052005,-3.335352898
0.521052105,-1.857922166
0.522052205,-3.04925487
0.523052305,-0.371820145
0.524052405,-2.600602471
0.525052505,-0.609141944
0.526052605,-0.143250666
0.527052705,-1.127983148
0.528052805,-1.514300949
0.529052905,-0.655267816
0.530053005,0.099441255
0.531053105,-0.576182665
0.532053205,-0.667312889
0.533053305,1.214616766
0.534053405,0.938496103
0.535053505,0.406374926
0.536053605,1.144552603
0.537053705,1.526000777
0.538053805,0.956121419
0.539053905,0.39436384
0.540054005,1.922844686
0.541054105,3.842186438
0.542054205,3.733474044
0.543054305,2.23050697
0.544054405,2.450699085
0.545054505,0.868280072
0.546054605,2.124598129
0.547054705,2.849715842
0.548054805,0.542692146
0.549054905,2.807941882
0.550055006,2.977323422
0.551055106,4.891490654
0.552055206,4.685916701
0.553055306,3.986194691
0.554055406,4.273891138
0.555055506,4.835788282
0.556055606,4.413164183
0.557055706,5.012540383
0.558055806,5.627096559
0.559055906,5.554580627
0.560056006,5.1677699
0.561056106,4.677792674
0.562056206,6.300255482
0.563056306,4.766422344
0.564056406,6.487634649
0.565056506,5.171236741
0.566056606,6.211172665
0.567056706,5.927216755
0.568056806,4.76973437
0.569056906,4.861744203
0.570057006,7.047720671
0.571057106,6.154194416
0.572057206,7.464210742
0.573057306,5.914729217
0.574057406,5.185392543
0.575057506,5.550326833
0.576057606,7.650519426
0.577057706,6.708322479
0.578057806,6.949576876
0.579057906,7.781726462
0.580058006,7.728092253
0.581058106,5.751056555
0.582058206,8.077418725
0.583058306,5.192573494
0.584058406,7.299872146
0.585058506,7.760326263
0.586058606,5.900397866
0.587058706,6.068243364
0.588058806,6.915067309
0.589058906,4.993321523
0.590059006,8.213077014
0.591059106,7.608533014
0.592059206,7.165867184
0.593059306,7.008376267
0.594059406,6.926670436
0.595059506,6.987329034
0.596059606,5.765797213
0.597059706,6.269464084
0.598059806,5.710493208
0.599059906,5.043905481
0.600060006,4.559369591
0.601060106,4.898191332
0.602060206,7.107026125
0.603060306,5.58756947
0.604060406,4.408748962
0.605060506,4.740032871
0.606060606,5.56483693
0.607060706,3.721797704
0.608060806,3.826022921
0.609060906,4.096496382
0.610061006,6.254276811
0.611061106,5.166164646
0.612061206,3.33318037
0.613061306,4.002582398
0.614061406,4.09113877
0.615061506,4.457638551
0.616061606,2.349773464
0.617061706,1.812908443
0.618061806,3.42354345
0.619061906,4.193110653
0.620062006,3.459041821
0.621062106,3.512845851
0.622062206,1.549748612
0.623062306,2.364257424
0.624062406,3.430954474
0.625062506,1.172113048
0.626062606,1.260205562
0.627062706,0.157352636
0.628062806,1.975656058
0.629062906,2.874920451
0.630063006,2.481617135
0.631063106,2.086093728
0.632063206,2.488052534
0.633063306,0.134712112
0.634063406,1.551541656
0.635063506,-1.130248546
0.636063606,-0.488933328
0.637063706,1.123256508
0.638063806,1.46725261
0.639063906,-1.827109017
0.640064006,0.457023825
0.641064106,-2.370408702
0.642064206,-0.610271581
0.643064306,-1.375016626
0.644064406,-1.904545353
0.645064506,-1.454994025
0.646064606,-1.98108315
0.647064706,-1.005221775
0.648064806,-2.202564396
0.649064906,-3.025000441
0.650065007,-0.817780477
0.651065107,-2.423656833
0.652065207,-3.364971946
0.653065307,-3.966745036
0.654065407,-2.227056286
0.655065507,-4.764831819
0.656065607,-2.868010224
0.657065707,-3.475647481
0.658065807,-3.196407013
0.659065907,-4.728398936
0.660066007,-3.112006566
0.661066107,-3.813300672
0.662066207,-3.136074232
0.663066307,-4.061803989
0.664066407,-3.60212525
0.665066507,-6.089271449
0.666066607,-5.730663827
0.667066707,-3.226689769
0.668066807,-4.004527109
0.669066907,-4.179221437
0.670067007,-4.507457742
0.671067107,-5.204304892
0.672067207,-4.907457304
0.673067307,-4.611920583
0.674067407,-5.187614409
0.675067507,-5.815490837
0.676067607,-6.120804515
0.677067707,-3.159857152
0.678067807,-5.324508558
0.679067907,-5.517246367
0.680068007,-5.839928579
0.681068107,-5.889079622
0.682068207,-4.557470116
0.683068307,-4.036481504
0.684068407,-6.40515
0.685068507,-6.311239473
0.686068607,-6.649913265
0.687068707,-5.334570282
0.688068807,-7.156408062
0.689068907,-5.947153134
0.690069007,-6.579600925
0.691069107,-5.852045949
0.692069207,-4.884552518
0.693069307,-5.894434545
0.694069407,-4.307731731
0.695069507,-7.231015697
0.696069607,-5.280321882
0.697069707,-5.736544432
0.698069807,-6.34695554
0.699069907,-6.723236476
0.700070007,-6.287016648
0.701070107,-7.073965775
0.702070207,-6.031734465
0.703070307,-4.253330296
0.704070407,-6.491857686
0.705070507,-3.830578413
0.706070607,-6.589798313
0.707070707,-4.599177472
0.708070807,-4.534337709
0.709070907,-4.51463165
0.710071007,-4.836817715
0.711071107,-4.441011742
0.712071207,-5.244403032
0.713071307,-2.752539457
0.714071407,-4.729926737
0.715071507,-3.838268335
0.716071607,-3.329068433
0.717071707,-3.98920951
0.718071807,-4.962306427
0.719071907,-3.085966009
0.720072007,-3.840907767
0.721072107,-3.165794191
0.722072207,-3.485142991
0.723072307,-1.116500515
0.724072407,-4.595071302
0.725072507,-3.175576974
0.726072607,-2.995962979
0.727072707,-3.126416076
0.728072807,-3.401658761
0.729072907,-2.486164697
0.730073007,-2.405072949
0.731073107,-2.990683311
0.732073207,-1.303598333
0.733073307,-0.876278751
0.734073407,-1.173277312
0.735073507,-0.03145178
0.736073607,-4.941899779
0.737073707,-3.932433154
0.738073807,-1.695680461
0.739073907,0.74349621
0.740074007,-1.397609041
0.741074107,-0.881175712
0.742074207,-1.661237361
0.743074307,-0.622168458
0.744074407,0.459019425
0.745074507,-1.893663456
0.746074607,0.027051303
0.747074707,0.860631165
0.748074807,1.941074682
0.749074907,0.310446709
0.750075008,1.705586027
0.751075108,1.935608446
0.752075208,2.754076172
0.753075308,0.747567463
0.754075408,1.266734186
0.755075508,1.660508671
0.756075608,1.64258444
0.757075708,2.754239229
0.758075808,3.261848062
0.759075908,1.723531089
0.760076008,1.663433503
0.761076108,1.637828215
0.762076208,2.521550891
0.763076308,1.799929758
0.764076408,3.686243579
0.765076508,2.56164908
0.766076608,3.030439538
0.767076708,1.987023572
0.768076808,1.945587086
0.769076908,2.771156549
0.770077008,3.914463092
0.771077108,2.725523341
0.772077208,-0.24954298
0.773077308,2.768951171
0.774077408,4.197232273
0.775077508,2.739234546
0.776077608,1.276921946
0.777077708,2.730068164
0.778077808,3.861485138
0.779077908,3.619372332
0.780078008,2.900404193
0.781078108,4.336077338
0.782078208,4.078141939
0.783078308,5.302313455
0.784078408,3.855600351
0.785078508,5.655212922
0.786078608,4.835698889
0.787078708,2.658367262
0.788078808,4.791277777
0.789078908,4.599987808
0.790079008,3.397386137
0.791079108,5.15734676
0.792079208,4.767689007
0.793079308,2.845343207
0.794079408,3.432012135
0.795079508,3.257513977
0.796079608,4.326791922
0.797079708,2.821215389
0.798079808,5.603645806
0.799079908,3.888571753
0.800080008,4.895243916
0.801080108,5.40763539
0.802080208,4.409503664
0.803080308,3.548525843
0.804080408,4.144506952
0.805080508,3.670699331
0.806080608,3.841145086
0.807080708,7.554265655
0.808080808,4.725768422
0.809080908,3.901736845
0.810081008,3.580579052
0.811081108,3.21773768
0.812081208,3.84572288
0.813081308,4.185016256
0.814081408,4.001065173
0.815081508,2.264684456
0.816081608,2.819257739
0.817081708,3.546765494
0.818081808,3.301413262
0.819081908,2.352051935
0.820082008,2.445642079
0.821082108,5.031427163
0.822082208,3.776653423
0.823082308,0.814059043
0.824082408,2.757940039
0.825082508,3.55548434
0.826082608,2.981123557
0.827082708,2.227422381
0.828082808,4.057335437
0.829082908,3.237378821
0.830083008,1.729535648
0.831083108,1.800795951
0.832083208,3.135449829
0.833083308,0.836990718
0.834083408,1.92068726
0.835083508,2.220994044
0.836083608,1.712388886
0.837083708,2.703390994
0.838083808,1.474505237
0.839083908,1.327344706
0.840084008,1.956000355
0.841084108,0.903288826
0.842084208,0.145000503
0.843084308,1.686142852
0.844084408,1.545282716
0.845084508,2.783829203
0.846084608,-1.602080191
0.847084708,0.566001608
0.848084808,-0.497234381
0.849084908,1.777558165
0.850085009,0.790278083
0.851085109,-0.074711551
0.852085209,0.547093035
0.853085309,1.941398001
0.854085409,0.882487865
0.855085509,0.37864393
0.856085609,0.073457357
0.857085709,0.638575571
0.858085809,2.557118967
0.859085909,2.628618153
0.860086009,-0.418219258
0.861086109,0.840330957
0.862086209,0.870756314
0.863086309,0.629855945
0.864086409,-0.32154835
0.865086509,0.057277282
0.866086609,-0.365550003
0.867086709,-0.064831165
0.868086809,0.682973884
0.869086909,-0.032875142
0.870087009,0.52307172
0.871087109,0.020880711
0.872087209,3.491295112
0.873087309,2.444546371
0.874087409,-0.358738318
0.875087509,0.634054143
0.876087609,0.192482544
0.877087709,-0.172991001
0.878087809,0.890473703
0.879087909,1.42476811
0.880088009,-0.380748452
0.881088109,0.289794163
0.882088209,-0.297645589
0.883088309,1.564119738
0.884088409,0.188112126
0.885088509,2.364998734
0.886088609,2.271595836
0.887088709,2.00976278
0.888088809,1.683986666
0.889088909,1.404834911
0.890089009,4.534264507
0.891089109,2.993606011
0.892089209,2.135213557
0.893089309,2.105809109
0.894089409,1.881915465
0.895089509,3.382618507
0.896089609,0.684102954
0.897089709,2.468840069
0.898089809,2.321337793
0.899089909,1.614446543
0.900090009,2.738895527
0.901090109,3.492797257
0.902090209,2.411087794
0.903090309,2.983030127
0.904090409,3.373527991
0.905090509,5.091849599
0.906090609,1.307468972
0.907090709,3.773771904
0.908090809,3.375127362
0.909090909,2.146833658
0.910091009,4.238641616
0.911091109,3.736195139
0.912091209,4.585561531
0.913091309,3.478370633
0.914091409,2.847404602
0.915091509,5.48621517
0.916091609,4.627495579
0.917091709,4.13979904
0.918091809,6.811814795
0.919091909,4.523556336
0.920092009,5.592730157
0.921092109,6.982283595
0.922092209,4.692928942
0.923092309,5.823654244
0.924092409,7.382228255
0.925092509,4.720459509
0.926092609,6.487378344
0.927092709,7.001216368
0.928092809,5.340905495
0.929092909,5.472905656
0.930093009,4.61608699
0.931093109,5.490087628
0.932093209,6.751869681
0.933093309,5.607863475
0.934093409,5.800770527
0.935093509,7.364942546
0.936093609,6.916636682
0.937093709,6.939352244
0.938093809,7.152912899
0.939093909,6.969992199
0.940094009,6.335276612
0.941094109,6.654091438
0.942094209,7.069917991
0.943094309,8.05994445
0.944094409,8.823271657
0.945094509,7.505050513
0.946094609,7.737138997
0.947094709,8.721736876
0.948094809,7.748878458
0.949094909,9.946719624
0.95009501,7.289399655
0.95109511,9.652268773
0.95209521,7.805317002
0.95309531,8.684329543
0.95409541,8.375419338
0.95509551,9.739101641
0.95609561,9.713665222
0.95709571,8.448074788
0.95809581,9.961076494
0.95909591,9.020540675
0.96009601,8.276362105
0.96109611,7.462400349
0.96209621,10.53667093
0.96309631,11.00801286
0.96409641,9.040713695
0.96509651,9.476878056
0.96609661,10.21108784
0.96709671,9.391919426
0.96809681,9.916697335
0.96909691,8.739497529
0.97009701,8.666641031
0.97109711,10.96050874
0.97209721,8.246985763
0.97309731,9.962038192
0.97409741,9.507755478
0.97509751,9.501520155
0.97609761,8.032216402
0.97709771,10.07611339
0.97809781,9.799611348
0.97909791,8.273191518
0.98009801,8.504744338
0.98109811,7.424907288
0.98209821,9.796680987
0.98309831,9.618675234
0.98409841,9.406154478
0.98509851,9.233787049
0.98609861,7.60727623
0.98709871,9.056589929
0.98809881,8.337012187
0.98909891,10.11855389
0.99009901,7.850053683
0.99109911,7.840208647
0.99209921,8.032516371
0.99309931,7.188657437
0.99409941,5.645113895
0.99509951,7.799108105
0.99609961,6.414561132
0.99709971,6.267765713
0.99809981,6.902480467
0.99909991,5.518925181
1.00010001,6.983672797
1.00110011,7.33133788
1.00210021,6.832509449
1.00310031,6.701426327
1.00410041,7.282363129
1.00510051,8.010876134
1.00610061,3.892794843
1.00710071,6.401394485
1.00810081,3.829568461
1.00910091,5.349569088
1.01010101,3.789985145
1.01110111,4.996582557
1.01210121,4.075450368
1.01310131,2.4988563
1.01410141,4.394214624
1.01510151,3.237681808
1.01610161,3.158084918
1.01710171,2.464625281
1.01810181,3.782180105
1.01910191,4.120904484
1.02010201,2.068108018
1.02110211,2.77473774
1.02210221,0.312003624
1.02310231,2.319275173
1.02410241,1.092865835
1.02510251,1.330576007
1.02610261,2.635200523
1.02710271,3.134441285
1.02810281,0.531501779
1.02910291,0.335809221
1.03010301,1.831600732
1.03110311,0.597339957
1.03210321,0.985319678
1.03310331,1.306824849
1.03410341,0.35425614
1.03510351,-0.325304646
1.03610361,-0.564315146
1.03710371,-1.602822027
1.03810381,-2.646875826
1.03910391,1.679938373
1.04010401,-1.408116542
1.04110411,-2.173307473
1.04210421,-2.361815497
1.04310431,-1.442155035
1.04410441,-3.378500536
1.04510451,-3.984237121
1.04610461,-1.723959737
1.04710471,-1.719728425
1.04810481,-2.289813511
1.04910491,-4.279215472
1.050105011,-3.784168763
1.051105111,-6.627585752
1.052105211,-2.547865038
1.053105311,-4.203757233
1.054105411,-2.681126885
1.055105511,-4.612074375
1.056105611,-3.033180394
1.057105711,-2.261317867
1.058105811,-5.596598138
1.059105911,-4.776379284
1.060106011,-5.747241388
1.061106111,-5.832635613
1.062106211,-5.881189567
1.063106311,-5.229116253
1.064106411,-6.431919556
1.065106511,-5.83335071
1.066106611,-5.949219859
1.067106711,-6.898366709
1.068106811,-4.906222427
1.069106911,-6.501831004
1.070107011,-8.05442444
1.071107111,-7.23121505
1.072107211,-6.968389424
1.073107311,-6.24557031
1.074107411,-7.20039063
1.075107511,-6.969791068
1.076107611,-6.128055854
1.077107711,-7.356370636
1.078107811,-7.989509986
1.079107911,-8.205776916
1.080108011,-5.620329386
1.081108111,-6.49496787
1.082108211,-7.079654744
1.083108311,-5.880795735
1.084108411,-6.267807523
1.085108511,-7.526959711
1.086108611,-6.724340202
1.087108711,-5.862598136
1.088108811,-5.32208942
1.089108911,-6.791940264
1.090109011,-7.901062963
1.091109111,-7.753094387
1.092109211,-4.24333258
1.093109311,-7.028522668
1.094109411,-7.044734204
1.095109511,-6.432511209
1.096109611,-5.850755888
1.097109711,-5.539919996
1.098109811,-5.897321388
1.099109911,-6.954054044
1.100110011,-7.162887906
1.101110111,-6.765037323
1.102110211,-6.992287108
1.103110311,-5.383039224
1.104110411,-4.734486225
1.105110511,-5.085612363
1.106110611,-5.885991336
1.107110711,-5.573919105
1.108110811,-5.604874757
1.109110911,-6.663222209
1.110111011,-4.399583958
1.111111111,-4.57093393
1.112111211,-4.426067487
1.113111311,-4.026635086
1.114111411,-3.288373162
